regiao,variavel_climatica,lag_semanas,municipios_total,municipios_correlacao_valida,observacoes_validas_mediana,correlacao_media,correlacao_mediana,correlacao_p10,correlacao_p25,correlacao_p75,correlacao_p90,proporcao_correlacao_positiva,proporcao_correlacao_negativa
Centro-Oeste,temperatura_media_c,4,468.0,468.0,518.0,-0.025191693932164527,-0.02408801195580685,-0.17559925485629133,-0.09234651010150577,0.04170414414754749,0.13802340422130088,0.38675213675213677,0.6111111111111112
Norte,umidade_relativa_media_pct,4,450.0,450.0,518.0,0.17227778720061668,0.1700721293685521,0.011597534269998324,0.0752820373715485,0.2568991867007637,0.3315068176069355,0.9244444444444444,0.07555555555555556
Nordeste,umidade_relativa_media_pct,4,1793.0,1793.0,518.0,0.18689326066517103,0.18146382398378663,0.06750466199125214,0.12052000025486476,0.24920625633279397,0.3113273593863748,0.981037367540435,0.018962632459564976
Sudeste,umidade_relativa_media_pct,4,1668.0,1668.0,518.0,0.1656360032473606,0.16007273101521388,0.04096739827021863,0.09246480222836345,0.23501852723496983,0.2970935506967799,0.9634292565947242,0.03657074340527578
Sul,umidade_relativa_media_pct,4,1191.0,1181.0,518.0,0.048625647339984035,0.04921089382141167,-0.024082674435425045,0.009174780680839743,0.08448921601008955,0.1176881632317748,0.7967823878069432,0.20321761219305673
Centro-Oeste,umidade_relativa_media_pct,4,468.0,468.0,518.0,0.297275390051763,0.2962806864494335,0.16012877866798514,0.2155595384870692,0.3680172749059895,0.45231662060633093,0.9957264957264957,0.004273504273504274
Norte,precipitacao_total_mm,4,450.0,450.0,518.0,0.17808213024178807,0.17667498376711166,0.035097602670738234,0.09035514206730205,0.2538718658297824,0.33071785482367805,0.9533333333333334,0.04666666666666667
Nordeste,precipitacao_total_mm,4,1793.0,1793.0,518.0,0.16076185530599704,0.15624934744325938,0.06295306359017828,0.10271507681203434,0.2138244001670135,0.2675992454567212,0.9843837144450641,0.015616285554935862
Sudeste,precipitacao_total_mm,4,1668.0,1668.0,518.0,0.12982279030764102,0.12982558833546343,0.042296246942504286,0.08268244528072946,0.1733627538119315,0.22192557739194144,0.9682254196642686,0.03177458033573141
Sul,precipitacao_total_mm,4,1191.0,1181.0,518.0,0.040575261604733646,0.04136595618650537,-0.014875399824885142,0.01343231460603357,0.06791331237386397,0.09463298026425032,0.8331922099915327,0.1668077900084674
