ano_epidemiologico,codigo_uf_ibge,nome_uf_ibge,regiao,casos_provaveis,populacao_uf,unidades_territoriais,unidades_territoriais_com_casos,incidencia_anual_100mil,proporcao_unidades_com_casos,participacao_casos_nacional_ano
2022,50,Mato Grosso do Sul,Centro-Oeste,26373,2757013,79,79,956.57873212785,1.0,0.01877216796367568
2022,51,Mato Grosso,Centro-Oeste,35354,3658649,141,138,966.3129750899853,0.9787234042553191,0.025164798323580557
2022,52,Goiás,Centro-Oeste,208405,7056495,246,246,2953.378412370447,1.0,0.14834162455806432
2022,53,Distrito Federal,Centro-Oeste,70233,2817381,1,1,2492.84708032034,1.0,0.04999149405046199
2023,11,Rondônia,Norte,10726,1581196,52,52,678.3472763654853,1.0,0.006516617191572506
2023,12,Acre,Norte,7148,830018,22,22,861.1861429511166,1.0,0.004342791318791747
2023,13,Amazonas,Norte,6352,3941613,62,48,161.1522998325812,0.7741935483870968,0.003859178855199381
2023,14,Roraima,Norte,234,636707,15,13,36.75159845894579,0.8666666666666667,0.00014216748301584622
2023,15,Pará,Norte,5879,8120131,144,131,72.40030979795769,0.9097222222222222,0.0035718061224365807
2023,16,Amapá,Norte,1230,733759,16,14,167.62997114856512,0.875,0.000747290615852525
2023,17,Tocantins,Norte,3245,1511460,139,122,214.6930782157649,0.8776978417266187,0.0019715106084889785
2023,21,Maranhão,Nordeste,5001,6776699,217,177,73.79699172119051,0.815668202764977,0.0030383742844540466
2023,22,Piauí,Nordeste,7578,3271199,224,155,231.65817793414584,0.6919642857142857,0.0046040392576670195
2023,23,Ceará,Nordeste,14463,8794957,184,172,164.44651179079102,0.9347826086956522,0.008787044046402494
2023,24,Rio Grande do Norte,Nordeste,7678,3302729,167,149,232.47441736818251,0.8922155688622755,0.004664794592289176
2023,25,Paraíba,Nordeste,7230,3974687,223,166,181.90111573565414,0.7443946188340808,0.0043926106931819146
2023,26,Pernambuco,Nordeste,7960,9056843,185,171,87.88934510623625,0.9243243243243243,0.004836124635923657
2023,27,Alagoas,Nordeste,4765,3127683,102,86,152.34919907164505,0.8431372549019608,0.002894991694745757
2023,28,Sergipe,Nordeste,2882,2210004,75,68,130.40700378822845,0.9066666666666666,0.0017509687438105504
