dimensao,grupo,horizonte,subconjunto,threshold,observacoes,municipios,positivos,negativos,prevalencia,average_precision,roc_auc,brier_score,precision,recall,f1,balanced_accuracy,alertas,proporcao_alertas,tn,fp,fn,tp
regiao,Norte,3,early_warning,0.167991,19247,450,1297,17950,0.06738712526627526,0.27622089875828193,0.794616137948512,0.05575001865761779,0.26061493411420206,0.4117193523515806,0.31918708906156606,0.6636591190727262,2049,0.10645814932197226,16435,1515,763,534
regiao,Sudeste,3,geral,0.167991,83400,1668,12272,71128,0.1471462829736211,0.7525458291474478,0.9153788937689431,0.06774596636858309,0.49246431779618727,0.8041069100391134,0.6108325595790778,0.8305626215924956,20038,0.24026378896882494,60958,10170,2404,9868
regiao,Sudeste,3,early_warning,0.167991,70552,1667,4251,66301,0.060253430094114976,0.2621925201425802,0.8267474922816858,0.05093094952450955,0.2520335869850433,0.4518936720771583,0.32359134169965464,0.6829535176874231,7622,0.10803379067921533,60600,5701,2330,1921
regiao,Sul,3,geral,0.167991,59550,1191,6318,53232,0.10609571788413098,0.6246903208792317,0.8632412356268933,0.06067888359883971,0.4413882024282798,0.6502057613168725,0.5258240000000001,0.7762694721823316,9307,0.15628883291351806,48033,5199,2210,4108
regiao,Sul,3,early_warning,0.167991,53331,1190,2975,50356,0.05578369053646097,0.1903215276562268,0.7557915140001509,0.04955760939979758,0.2329738933030647,0.27596638655462186,0.25265425450069245,0.6111442862950248,3524,0.06607789090772721,47653,2703,2154,821
regiao,Centro-Oeste,4,geral,0.157138,22883,467,3749,19134,0.16383341345103353,0.6239092894137246,0.8639047761957803,0.0949495212015214,0.37627861665854845,0.8242197919445186,0.5166792074241283,0.7782643853628728,8212,0.3588690294104794,14012,5122,659,3090
regiao,Centro-Oeste,4,early_warning,0.157138,19030,467,1611,17419,0.08465580662112454,0.23211142098391233,0.7861462983637415,0.07222467450931097,0.21827295511506037,0.5946617008069522,0.3193333333333333,0.6988464368320886,4389,0.230635838150289,13988,3431,653,958
regiao,Nordeste,4,geral,0.157138,87857,1793,8934,78923,0.10168797022434183,0.47019413300450913,0.8284958396752524,0.0718766400250737,0.30772507054251186,0.6469666442802776,0.41707255474979255,0.741105561538033,18783,0.21379059152941712,65920,13003,3154,5780
regiao,Nordeste,4,early_warning,0.157138,79113,1793,5005,74108,0.06326393892280661,0.16910447129915426,0.752498731904464,0.05663222250139964,0.18416896960126333,0.3728271728271728,0.24654819316905593,0.6306436290540571,10132,0.12806997585731802,65842,8266,3139,1866
regiao,Norte,4,geral,0.157138,22050,450,3225,18825,0.14625850340136054,0.5849561883203934,0.8376815672709679,0.0891857975217834,0.36189316694567036,0.7373643410852713,0.4855042874642711,0.7573143086568455,6571,0.2980045351473923,14632,4193,847,2378
