modelo,horizonte,fold,treino_inicio,treino_fim,validacao_ano,linhas_treino,positivos_treino,prevalencia_treino,linhas_validacao,threshold,tempo_treinamento_segundos,tempo_predicao_segundos,geral_observacoes,geral_positivos,geral_negativos,geral_prevalencia,geral_pr_auc_average_precision,geral_roc_auc,geral_recall,geral_precision,geral_f1,geral_balanced_accuracy,geral_brier_score,geral_tn,geral_fp,geral_fn,geral_tp,early_warning_observacoes,early_warning_positivos,early_warning_negativos,early_warning_prevalencia,early_warning_pr_auc_average_precision,early_warning_roc_auc,early_warning_recall,early_warning_precision,early_warning_f1,early_warning_balanced_accuracy,early_warning_brier_score,early_warning_tn,early_warning_fp,early_warning_fn,early_warning_tp
logistic_regression,3,fold_3,2018,2022,2023,1436802,224061,0.15594424283930564,272881,0.5,2.108287199998813,0.02865370000108669,272881,52094,220787,0.1909037272657312,0.7445534716851938,0.8748673807636662,0.6182093907167812,0.784588398664945,0.6915321931265501,0.7890808714919492,0.08611269321625259,211945,8842,19889,32205,222378,17355,205023,0.07804279200280603,0.22360792635494722,0.7003255754064529,0.045462402765773555,0.596822995461422,0.08448894362049579,0.5214313472201831,0.06830492626505232,204490,533,16566,789
hist_gradient_boosting,3,fold_3,2018,2022,2023,1436802,224061,0.15594424283930564,272881,0.5,8.316638700000112,0.6654202999998233,272881,52094,220787,0.1909037272657312,0.8029998628944107,0.9092301669811191,0.6069796905593734,0.8444610618523662,0.7062923004757756,0.7903006629455819,0.07504502030338592,214963,5824,20474,31620,222378,17355,205023,0.07804279200280603,0.29649601987829455,0.7945202397083898,0.10267934312878133,0.5446210268948656,0.1727832452610656,0.5477059329106786,0.06338777229849626,203533,1490,15573,1782
logistic_regression,3,fold_4,2018,2023,2024,1726390,278166,0.16112581745723736,272881,0.5,2.483964699998978,0.023516299999755574,272881,94311,178570,0.3456121899289434,0.8687126838209814,0.9004223976492028,0.7440595476667621,0.8451625335726072,0.7913950603360775,0.8360326858566772,0.10939147749163425,165714,12856,24138,70173,177938,20706,157232,0.11636637480470725,0.2814862149026654,0.6933529705678744,0.05964454747416208,0.6165751372940589,0.10876744902901933,0.5273800227957969,0.09904445171884287,156464,768,19471,1235
hist_gradient_boosting,3,fold_4,2018,2023,2024,1726390,278166,0.16112581745723736,272881,0.5,10.284975399999894,0.7628100999991148,272881,94311,178570,0.3456121899289434,0.8988552127085949,0.9215002387724884,0.7299996819034895,0.8876497208648676,0.8011427108545894,0.8406004457565832,0.09481816700512667,169856,8714,25464,68847,177938,20706,157232,0.11636637480470725,0.33898744495666716,0.7634654362915411,0.11339708297111949,0.5821968757748575,0.18982173895468693,0.5513402174802682,0.09116464513650928,155547,1685,18358,2348
logistic_regression,4,fold_1,2018,2020,2021,852057,135548,0.15908325381987357,267312,0.5,0.8570089000004373,0.026850599999306723,267312,24155,243157,0.09036257257437003,0.5059497886716358,0.7894281604584091,0.38737321465535085,0.6792740471869329,0.4933825467967308,0.6846019418646206,0.05941124051192526,238739,4418,14798,9357,245070,11811,233259,0.04819439343860938,0.09569811331891286,0.6051328859981839,0.010075353484040301,0.49173553719008267,0.019746121297602257,0.5047740213203644,0.045858130231475676,233136,123,11692,119
hist_gradient_boosting,4,fold_1,2018,2020,2021,852057,135548,0.15908325381987357,267312,0.5,4.8787315000008675,0.5806292999986908,267312,24155,243157,0.09036257257437003,0.5933898437580646,0.8672254340977519,0.4153177395984268,0.7292817679558011,0.5292395346996914,0.7000012658643071,0.054089426444792935,239433,3724,14123,10032,245070,11811,233259,0.04819439343860938,0.17797551634425055,0.7662153556143825,0.039031411396156124,0.4079646017699115,0.07124642608762846,0.5180816774290724,0.043265615639170335,232590,669,11350,461
logistic_regression,4,fold_2,2018,2021,2022,1141645,160796,0.14084588466642434,267312,0.5,1.4528181000005134,0.027865800000654417,267312,60200,207112,0.2252050038905848,0.666890344211674,0.8175796963146652,0.48078073089700996,0.7453197023150413,0.584512233295972,0.716514394959108,0.11979260544391969,197222,9890,31257,28943,207946,23294,184652,0.11201946659228838,0.22966840312627215,0.6406370269618915,0.022795569674594316,0.6968503937007874,0.044146990355836385,0.5107722838949841,0.09725598435316869,184421,231,22763,531
hist_gradient_boosting,4,fold_2,2018,2021,2022,1141645,160796,0.14084588466642434,267312,0.5,6.579290499999843,0.6468681000005745,267312,60200,207112,0.2252050038905848,0.7190248214850448,0.86005632206286,0.5000166112956811,0.7722561444917646,0.6070096190687451,0.7285778718728781,0.1094853088090012,198235,8877,30099,30101,207946,23294,184652,0.11201946659228838,0.306161217970998,0.7489047875374641,0.06529578432214304,0.6062176165803109,0.11789326822462505,0.5299725894294466,0.0903068184092999,183664,988,21773,1521
logistic_regression,4,fold_3,2018,2022,2023,1431233,223865,0.15641408491838854,267312,0.5,1.9515840000003664,0.029021000000284403,267312,51293,216019,0.1918843897767403,0.6273905351273079,0.811238427577598,0.4551303296746145,0.7220847510052583,0.5583392128959735,0.7067683830727403,0.10718360557426623,207034,8985,27948,23345,218000,21055,196945,0.09658256880733945,0.1858453830040936,0.6300912451710806,0.01752552837805747,0.599025974025974,0.034054727516035256,0.5081356855630164,0.08496582291900927,196698,247,20686,369
hist_gradient_boosting,4,fold_3,2018,2022,2023,1431233,223865,0.15641408491838854,267312,0.5,8.5053525000003,0.6445851999997103,267312,51293,216019,0.1918843897767403,0.6944273845813731,0.8627374901268439,0.48324332754956817,0.7591730474732006,0.5905674088369489,0.7234218757931714,0.09773749533585628,208156,7863,26506,24787,218000,21055,196945,0.09658256880733945,0.25865840458015743,0.7550782310454748,0.05153170268344811,0.47010398613518195,0.0928819072893036,0.5226609235700111,0.08028896314632684,195722,1223,19970,1085
logistic_regression,4,fold_4,2018,2023,2024,1720821,277970,0.16153336111077213,267312,0.5,2.1272180000014487,0.028127699999458855,267312,92488,174824,0.34599269767163465,0.8029919894150694,0.8521364537951236,0.6333145921633077,0.8093349729871637,0.7105864940768284,0.7771918908741309,0.13820539675355828,161025,13799,33914,58574,173601,24960,148641,0.14377797362918415,0.2510247416339978,0.6342935606369348,0.027724358974358973,0.6784313725490196,0.05327174749807544,0.5127588499885889,0.12235400104350608,148313,328,24268,692
hist_gradient_boosting,4,fold_4,2018,2023,2024,1720821,277970,0.16153336111077213,267312,0.5,10.27131290000034,0.6843628000005992,267312,92488,174824,0.34599269767163465,0.8368113859454384,0.8775622816880858,0.6424401003373411,0.8251697751607483,0.7224292531687894,0.7852152682165359,0.1250905271123471,162235,12589,33070,59418,173601,24960,148641,0.14377797362918415,0.3066409786815965,0.7151735225954844,0.05548878205128205,0.550914876690533,0.10082259590885928,0.5239466501600656,0.11480607616868688,147512,1129,23575,1385
